l4_txn_coredataset.send_bank_ctry_code,l4_txn_coredataset.bene_bank_ctry_code,txn_count
VA,VN,3
VN,IN,12262
AL,XK,2
AT,PK,613
BA,DK,93
BS,UY,479
CF,CY,2
CG,BY,1
CY,TH,3166
DK,CH,30459
EE,MV,10
FI,NE,8
FR,EE,145
GF,US,55
GH,SS,21
GI,RS,13
GR,IS,567
GY,BS,8
HT,LB,18
KZ,SM,65
LK,CM,4
PK,UG,53
PL,TG,362
PR,NG,3
PY,GG,1
RU,TD,74
SA,ID,10699
SG,CD,501
SH,BD,1
TC,KR,1
TG,GR,9
TH,FR,7783
TL,BR,35
UG,LA,2
VE,RO,1
ZA,NULL,139
ZA,DZ,58
AT,PL,34083
AW,ML,4
BB,CL,146
BZ,NZ,23
CF,CZ,34
CH,AZ,1291
CZ,SI,2944
DK,CI,108
EG,KW,581
GB,YT,42
GG,TT,10
GH,ST,109
GN,MT,44
GR,IT,8367
GT,GT,2899
HT,LC,3
KW,VN,681
KY,TN,9
KZ,SN,8
LA,MN,1
LK,CN,23204
NG,PK,2803
NO,HK,6235
PL,TH,2188
PY,GH,3
RS,VE,10
SA,IE,2130
SC,GE,1
SE,EE,152
SI,AE,529
SX,US,2964
TL,BS,1
UG,LB,636
AU,OM,294
AZ,JM,4
BB,CM,3
BD,AM,1
CY,TJ,59
DJ,DJ,40
EE,MX,60
FI,NG,1044
FJ,MG,1
FR,EG,1291
GI,RU,35
GN,MU,157
GT,GU,4
IT,PR,190
JO,ZA,386
KG,CA,300
LK,CO,12
NG,PL,6134
NI,NL,129
OM,NZ,235
PR,NI,305
PT,LI,86
PY,GI,1
SG,CF,3
SI,AF,10
TM,AT,999
VN,IQ,11
AN,VN,14
BB,CN,2074
CZ,SK,420236
DJ,DK,24
EE,MY,300
EG,KY,2
GH,SV,1
HR,NE,1
HU,KE,282
IM,WS,57
IT,PS,389
PL,TJ,19
RS,VG,1
RU,TG,52
SC,GG,4
SE,EG,4833
SG,CG,303
SI,AG,1
TM,AU,6
VC,TR,3
VG,PR,57
VN,IR,2
AR,RO,85
AZ,JO,139
BA,DO,3
BB,CO,2692
CZ,SL,18
DE,IL,7191
DK,CL,1079
EE,MZ,6
EG,KZ,38
FI,NI,133
GA,ZW,4
GG,TW,3295
GI,RW,1
GN,MW,1
IT,PT,1563
KE,EC,54
NA,VN,3
NL,KN,1
NO,HN,305
PH,XK,1
PS,MK,45
PT,LK,40
RU,TH,12373
SC,GH,87
SG,CH,95876
SH,BH,1
VG,PS,1
VN,IS,66
AZ,JP,58
CY,TM,254
CZ,SM,9
DE,IM,838
DK,CM,220
GN,MX,4
HK,UG,1222
HR,NG,128
HU,KG,26
IN,VU,3
KH,BD,36
KY,TR,17
LB,LR,73
LC,KR,6
LK,CR,3
MC,PA,931
MG,LA,9
ML,GA,10
NI,NO,12
PL,TL,1
PR,NL,809
PS,ML,8
SG,CI,1324
SS,ZW,45
SY,TW,7
VC,TT,154
VG,PT,2
VN,IT,1296
CW,VN,1
CY,TN,395
CZ,SN,75
DE,IN,39265
DK,CN,12071
FJ,MK,2
FO,HK,4
GN,MY,189
GP,KY,1
HU,KH,19
JP,YE,7
KE,EE,52
KH,BE,82
LI,ES,523
MG,LB,2
ML,GB,1723
MQ,BB,4
PK,UM,2
PL,TM,42
RU,TJ,1225
VE,RU,72
WS,ID,8
ZW,RO,1
AT,PR,35
BB,CR,156
BD,AR,1
BO,ZA,4
BY,PA,12
CG,CA,133
CH,BA,11350
DK,CO,974
FI,NL,11883
GG,TZ,35
GH,SZ,55
GM,NZ,3
GN,MZ,1
GY,BZ,4
KY,TT,322
LB,LT,48
LI,ET,33
PL,TN,336
PS,MN,5
PY,GN,1
SB,HK,56
SG,CK,41
TC,KY,12
XK,US,365
AO,US,3636
AR,RS,46
AT,PS,101
CH,BB,1049
KE,EG,1864
KH,BG,9
KW,VU,8
LA,MU,2
LB,LU,695
NC,TR,10
NG,PR,45
NL,KR,16392
NO,HR,3002
PL,TO,129
PR,NO,26
PS,MO,71
RU,TL,1
SG,CL,964
SI,AL,13
SZ,SZ,1
TM,AZ,202
UG,LI,20
VC,TW,8
ZA,EC,146
AT,PT,388
BD,AT,40
BS,VC,13
DE,IQ,578
FJ,MN,1
FO,HN,3
HT,LK,7
IT,PY,653
KG,CH,223
KH,BH,10
KZ,SV,5
LB,LV,544
MC,PE,15
MN,EE,19
MO,DE,379
MR,AE,332
NG,PS,121
RO,ZM,13
RU,TM,2314
SA,IM,1910
SG,CM,610
SI,AM,60
AR,RU,318
BD,AU,758
CA,ID,9916
CG,CD,576
CH,BD,3811
CI,AD,9
CY,TR,5083
DK,CR,697
EC,PA,36095
EE,NA,3
FI,NO,859
FJ,MO,2
HR,NL,2507
KY,TW,166
LC,KW,1
MR,AF,1
NG,PT,1750
NO,HT,24
NP,GT,1
PS,MQ,1
RS,VN,31
RU,TN,1253
SA,IN,38527
SG,CN,1557341
UG,LK,866
VU,BY,1
ZA,EE,53
ZW,RS,5
BB,CV,1
BS,VE,2
BY,PE,13
CA,IE,7446
CF,DE,44
CH,BE,28979
CI,AE,1488
CZ,SS,4
DE,IS,71644
EG,LB,1256
FI,NP,13
KH,BJ,2
ME,NG,59
MN,EG,1
NE,RU,19
NO,HU,6221
PL,TR,19463
PS,MR,27
PT,LR,14
PY,GR,66
RW,RO,32
SG,CO,1988
VC,TZ,4
AR,RW,1
BB,CW,107
CG,CF,19
CH,BF,906
CI,AF,1
CY,TT,150
CZ,ST,98
DE,IT,53478
LA,MY,89
LB,LY,10
LC,KY,38
LK,CY,186
MC,PH,186
ML,GH,1431
PK,US,103003
ZA,EG,1093
ZW,RU,33
AW,MX,62
BS,VG,291
CG,CG,29
CH,BG,3379
FO,HR,1
FR,ER,33
GB,ZA,86574
GG,UA,2
GI,SA,7
GN,NA,4
GY,CA,304
HN,RO,22
HR,NO,75
KG,CL,2
KY,TZ,25
LK,CZ,173
MG,LI,1
MM,FI,2
NC,TW,20
NE,RW,13
NL,KW,459
PL,TT,9
PS,MT,23
PT,LT,243
PY,GT,156
SA,IQ,121
SC,GQ,13
AO,UY,18
AT,PY,116
AW,MY,3
BB,CY,39
BY,PH,13
CG,CH,234
CH,BH,2158
CY,TV,8
CZ,SV,42
DK,CV,267
EC,PE,8944
EE,NE,2
ER,AE,191
FR,ES,41294
GU,GB,44
HR,NP,46
JO,ZM,37
MO,DJ,1
MQ,BJ,5
PS,MU,19
PT,LU,38700
RU,TR,25466
SC,GR,1
SE,ER,13
SG,CR,605
SI,AR,94
ST,ZA,16
TH,GA,9
TL,CA,24
UA,RO,1471
WS,IL,1
ZW,RW,9
AO,UZ,7
BA,NULL,1
BA,DZ,12
BB,CZ,7
BD,AZ,2
CD,FI,36
CG,CI,88
CH,BI,1602
CY,TW,6463
DK,CW,78
DM,AW,1
FR,ET,1118
GH,TC,2
GI,SC,6
GW,EC,1
KG,CN,5689
KH,BN,3
MC,PK,30
MG,LK,12
MK,HK,1285
MO,DK,108
NG,PY,16
NL,KY,703
PS,MV,14
PT,LV,255
RE,AE,158
RW,RS,53
SA,IS,242
SE,ES,2642
TH,GB,42939
WS,IM,23
CD,FJ,2
CH,BJ,966
CZ,SX,9
EE,NG,184
FJ,MU,33
FO,HU,13
GH,TD,44
HU,KR,2754
IT,QA,567
KG,CO,5
MC,PL,444
ME,NL,627
NC,TZ,1
NI,NZ,16
NL,KZ,3456
PL,TW,11345
PS,MW,15
PY,GW,1
RU,TT,100
SA,IT,6257
SE,ET,4748
SI,AT,9364
TJ,EC,142
WS,IN,25
BY,PK,163
CF,DK,33
CZ,SY,26
DK,CY,3831
EC,PH,55
GN,NE,12
GQ,KE,2
GR,JE,246
HK,US,1329106
ML,GM,11
PS,MX,70
RW,RU,73
SG,CU,2
SI,AU,308
TH,GD,3
UG,LR,932
VE,SA,33
VG,QA,1
VU,CA,2
BY,PL,27016
CA,IL,12572
CI,AL,2
CY,TZ,638
DJ,NULL,2
DJ,DZ,3
DK,CZ,7496
EE,NI,1
EG,LI,56
FJ,MW,14
ML,GN,49
PK,UY,36
PS,MY,1364
SG,CV,50
SX,VE,4
TD,KE,112
TH,GE,296
TJ,EE,25
TM,BE,61
TN,AE,5815
UA,RS,107
UG,LS,57
CA,IM,1648
CG,CM,23
CH,BM,1666
CI,AM,1
FJ,MX,12
GG,UG,36
GH,TG,484
GI,SG,91
GN,NG,345
GW,EG,6
HN,RU,19
HT,LU,4
JE,AD,55
KE,ER,16
KG,CR,2
KH,BR,4
KY,UA,5
LB,MA,816
MA,RO,434
ME,NO,19
MO,DO,4
PK,UZ,125
PL,TZ,892
PR,NZ,18
PS,MZ,4
RO,ZW,3
RU,TW,10563
RW,RW,985
SG,CW,239
UG,LT,93
BS,VN,7
CA,IN,50190
CG,CN,536
CH,BN,18
CI,AN,5
EC,PK,213
EG,LK,52
FJ,MY,172
GH,TH,905
GL,PH,4
GY,CH,5
IL,YE,26
IS,RE,2
JE,AE,23130
KE,ES,1673
KH,BS,1
OM,OM,4015
SZ,TG,1
TH,GG,13
TJ,EG,4
TL,CG,1
TM,BG,51
TN,AG,2
UA,RU,11611
UG,LU,131
VU,CD,1
AR,SA,85
AT,QA,121
AU,PA,1379
BW,RO,3
CD,FO,22
CG,CO,2
CH,BO,1508
CI,AO,15
EC,PL,278
EE,NL,976
FI,NZ,451
GI,SI,4
HU,KW,53
JE,AF,7
KE,ET,4680
KH,BT,3
LB,MC,125
SG,CY,6963
SZ,TH,1
TH,GH,137
TL,CH,90
TM,BH,28
UG,LV,110
VE,SE,11
VN,JE,1452
GH,TJ,3
IR,SG,22
JE,AG,16
KI,AU,70
LB,MD,73
MC,PR,38
MK,HR,320
ML,GR,3
MQ,BR,7
MR,AR,2
NE,SA,49
NG,QA,198
NL,LA,183
RU,TZ,805
SG,CZ,3953
SI,AZ,10
TC,LI,5
TH,GI,23
UA,RW,22
WS,IT,3
AR,SC,2
BA,EC,42
CA,IQ,132
CH,BQ,117
GI,SK,22
GT,HK,14168
HK,UY,1821
HU,KY,9
IQ,TH,160
LB,ME,11
LK,DE,3791
MA,RS,20
MC,PS,2
MN,ES,56
NL,LB,3779
VE,SG,10
ZA,ER,52
ZW,SA,6
BD,BD,514310
BE,AD,25
BY,PR,7
CA,IR,2
CD,FR,8032
CH,BR,16382
CI,AR,9
CY,UA,61089
EE,NO,20
GI,SL,26
GL,PL,422
GN,NL,253
GY,CL,3
HK,UZ,384
HR,NZ,174
HU,KZ,270
JE,AI,1
JO,ZW,22
MC,PT,191
MG,LT,3
MR,AT,5
NE,SC,2
NL,LC,27
TC,LK,3
TG,HK,2617
VU,CH,8
XX,IE,38
ZA,ES,3834
AO,VE,1
AR,SE,1806
AU,PE,3529
AZ,KE,34
BA,EE,8
BB,DE,267
BD,BE,530
BE,AE,20025
BT,US,166
BW,RS,29
BY,PS,5
CA,IS,1798
CH,BS,3413
DM,BB,53
GB,ZM,11830
GM,OM,1
GR,JM,37
KY,UG,11
KZ,TG,2
LA,NG,2
LB,MG,33
MA,RU,1882
MG,LU,5
MK,HU,1346
MR,AU,80
NO,ID,2382
PG,ZA,31
PL,UA,11259
PS,NA,2
PT,MA,347
TH,GL,1
TN,AL,2
VE,SI,4
ZA,ET,1536
ZW,SC,2
AU,PF,71
BE,AF,72
BY,PT,89
CA,IT,28859
CH,BT,270
CI,AT,107
CZ,TC,1
GH,TN,266
GI,SN,31
GT,HN,6715
GY,CN,346
KG,CY,136
KH,BY,4
KZ,TH,1736
NE,SE,40
NO,IE,5863
TH,GM,1
TM,BM,11
TN,AM,2
AR,SG,2030
AU,PG,1098
AW,NG,4
AZ,KG,45
BA,EG,44
BD,BG,69
BE,AG,2
BW,RU,168
CG,CU,1
CI,AU,161
CZ,TD,2
EC,PR,490
EG,LR,7
GN,NO,18
GR,JO,476
GY,CO,33
JE,AL,24
KG,CZ,171
LC,LI,2
LI,FI,417
MA,RW,25
PT,MC,44
TH,GN,161
TL,CN,82
TM,BN,1
ZW,SE,9
AU,PH,31029
AZ,KH,4
BD,BH,102
CG,CV,3
DE,JE,2581
DJ,EE,1
DK,DE,403732
DM,BE,2
EC,PS,8
GN,NP,1
GR,JP,2220
IQ,TM,10
JE,AM,55
KZ,TJ,1997
LK,DJ,11
NE,SG,352
PT,MD,777
QA,AD,3
RU,UA,18376
RW,SA,45
SI,BA,4748
TN,AO,14
VU,CL,1
AR,SI,18
AW,NI,2
BE,AI,5
BW,RW,58
CH,BW,652
EC,PT,391
EG,LT,30
IQ,TN,74
LB,MK,46
LC,LK,4
LK,DK,195
MC,PY,42
ML,GY,1
PK,VE,1
PT,ME,19
QA,AE,44147
SD,GB,171
SI,BB,1
VN,JM,30
ZW,SG,125
BD,BJ,3
CY,UG,631
CZ,TG,96
DJ,EG,208
EG,LU,404
ER,AU,8
FO,ID,1
GH,TR,4023
GQ,KR,1
GT,HR,7
GY,CR,97
HK,VA,7
HT,MA,5
HU,LA,1
IS,RO,4279
JE,AO,93
LA,NL,3
LB,ML,14
ME,NZ,10
MO,NULL,193
NE,SI,1
NL,LI,1183
QA,AF,6
RW,SC,5
VU,CN,65
AR,SK,65
AU,PK,8672
BB,DK,44
CG,CY,11
CH,BY,3016
CZ,TH,1421
EG,LV,70
FO,IE,13
GE,WS,1
GG,US,16793
GW,ES,4
HU,LB,181
KZ,TM,944
LB,MM,1
PK,VG,3
PL,UG,430
PS,NG,93
PT,MG,5
QA,AG,36
RE,AU,5
RW,SD,1
SB,ID,54
SI,BD,175
SZ,TR,3
TD,KR,6
TG,HR,1
TH,GR,123
TM,BR,1
TN,AR,35
UA,SA,96
UG,MA,58
VN,JO,58
ZW,SI,6
AR,SL,1
AU,PL,14708
AW,NL,110
BE,AL,79
CG,CZ,9
CH,BZ,76
GH,TT,69
GT,HT,24
GW,ET,2
HK,VC,31
HT,MC,5
HU,LC,21
KZ,TN,18
NL,LK,3337
NP,HK,557
RW,SE,208
SA,JE,1353
SG,DE,57183
SI,BE,403
SY,US,4637
TJ,ES,24
VN,JP,16543
BB,DM,8
BE,AM,741
CZ,TJ,8
DK,DJ,76
FJ,NG,37
GT,HU,45
IQ,TR,2598
JE,AR,557
JP,ZA,5359
KH,CA,857
LB,MO,30
NE,SL,15
NO,IL,1783
PS,NI,31
SI,BF,1
TH,GT,49
TM,BT,1
TN,AT,846
UA,SC,74
UG,MC,16
AO,VN,461
AR,SN,18
BD,BN,4
DK,DK,178260
EC,PY,242
EG,LY,1
GI,SV,2
HK,VE,64
HN,SE,110
IS,RS,1358
LB,MP,1
NO,IM,323
RU,UG,330
RW,SG,310
SI,BG,1284
TC,LU,1
TG,HU,2
TH,GU,23
TN,AU,87
UG,MD,11
US,AD,1130
ZW,SL,6
BB,DO,124
BE,AO,272
EE,NZ,103
FJ,NI,3
FR,FI,1357
GB,ZW,7076
GH,TW,1320
GY,CW,2
IQ,TT,4
JE,AT,842
NE,SN,35
NO,IN,7343
PT,MK,4
PY,HK,5670
SI,BH,6
TL,CV,32
TZ,YE,109
UA,SE,874
UG,ME,3
US,AE,298615
VC,US,1424
CZ,TM,130
DE,JM,954
DK,DM,1
FR,FJ,20
HK,VG,328
HN,SG,258
HT,MG,21
IS,RU,1251
JE,AU,4221
KZ,TR,31790
LB,MR,38
LI,FR,803
LY,ZA,19
MA,SA,1512
MC,QA,82
MD,PA,14
MG,MA,31
MQ,CA,18
PS,NL,774
PT,ML,43
QA,AL,70
RW,SI,13
SE,FI,3087
SH,CI,4
SZ,TW,46
TD,KW,27
US,AF,6224
ZW,SN,4
CZ,TN,233
GG,UY,41
GY,CY,4
KG,DE,253
KY,US,55494
MM,GB,95
PG,ZM,1
PR,OM,7
PT,MM,19
QA,AM,216
SE,FJ,55
SG,DJ,66
SI,BJ,21
UA,SG,703
UG,MG,88
US,AG,3323
AR,SR,1
AU,PR,210
AZ,KR,276
BD,BR,23
BE,AR,1428
BW,SA,6
BY,QA,26
BZ,PA,492
CD,GA,166
CH,CA,22015
CI,BA,2
DE,JO,5315
DK,DO,503
FJ,NL,4
GG,UZ,14
GH,TZ,422
GN,NZ,5
HN,SI,3
HU,LI,821
IQ,TW,114
IS,RW,13
JE,AW,9
KZ,TT,69
LB,MT,164
MA,SC,6
MG,MC,38
MO,EC,63
NO,IQ,1245
PK,VN,804
PT,MN,3
PY,HN,71
RW,SK,8
SC,HK,1417
SG,DK,6016
TH,GY,1
TM,BY,554
VE,SV,18
AU,PS,736
BA,ES,373
CD,GB,7662
CI,BB,1
DE,JP,24890
FI,OM,14
FO,IM,1
LB,MU,418
LC,LU,15
MA,SD,18
MK,ID,32
MR,BD,9
NL,LR,765
NP,HR,3
OM,PA,717
PS,NO,211
PT,MO,113
QA,AO,1
RW,SL,17
SZ,TZ,94
TN,AZ,4
UA,SI,328
US,AI,966
AU,PT,1976
BA,ET,1
BD,BT,7
BE,AT,7971
BW,SC,9
FO,IN,2
HN,SK,5
HU,LK,53
KH,CH,240
LB,MV,37
LC,LV,3
MA,SE,353
MK,IE,100
MM,GE,11
MR,BE,77
MS,AE,3
NC,US,326
NL,LS,1
NO,IS,14595
PS,NP,5
RW,SM,1
SA,JM,294
SB,IM,11
SG,DM,25
SI,BM,25
BE,AU,14531
CH,CD,8241
CI,BD,87
CZ,TR,3910
DJ,ER,1
DM,BR,1
EC,QA,103
EG,MA,386
FR,FO,1
HT,ML,18
JE,AZ,214
KE,FI,491
KZ,TW,847
LB,MW,35
MR,BF,4
NE,ST,1
NL,LT,1029
NO,IT,1807
RW,SN,145
SC,HN,1
UA,SK,3415
UG,MK,3
VU,CY,7
ZW,SS,5
AR,SV,123
BW,SE,6
BZ,PE,1
CA,JE,860
CD,GE,38
CG,DE,154
CI,BE,1050
CY,US,82351
DJ,ES,58
DM,BS,5
HR,OM,37
KE,FJ,37
LB,MX,305
MA,SG,687
MG,MG,1551
MO,EG,2
MR,BG,1
MS,AG,7
NL,LU,17039
NP,HU,1
PT,MR,4
PY,HR,13
QA,AR,167
RW,SO,1
SA,JO,22430
SG,DO,320
SI,BO,5
UG,ML,1359
US,AL,2536
VU,CZ,1
AU,PW,8
AZ,KW,18
BE,AW,94
CH,CF,148
CI,BF,853
CZ,TT,2
DJ,ET,474
EG,MC,2
HK,VN,38218
HN,SN,7
KE,FK,3
KG,DK,19
KH,CK,1
KY,UY,158
LB,MY,973
MM,GH,11
MQ,CH,3
MR,BH,28
NL,LV,5040
OM,PE,25
PL,US,851072
SA,JP,5933
UA,SM,3
US,AM,17377
AR,SX,4
BW,SG,618
CD,GG,13
CF,EG,15
CH,CG,429
CI,BG,18
EG,MD,1
ES,AD,2039
FR,FR,7984716
GH,UA,1885
GM,PA,1
KH,CL,5
KY,UZ,6
KZ,TZ,30
LA,NZ,40
LB,MZ,51
LK,NULL,243
LK,DZ,1
MA,SI,40
MN,FI,2
MS,AI,1
PT,MT,70
PY,HT,3
QA,AT,834
SI,BQ,13
UA,SN,30
UG,MN,1
US,AN,188
AU,PY,291
AZ,KY,1
BD,BY,28
BZ,PH,6
CD,GH,1226
CH,CH,490374
CI,BH,30
EG,ME,2
ER,BE,19
ES,AE,6233
FO,IS,1005
GQ,LB,2
JP,ZM,772
KH,CM,1
MR,BJ,1
PT,MU,270
PY,HU,26
QA,AU,1740
RE,BD,14
SC,HR,5
SE,FR,4037
SH,CR,1
SI,BR,68
SZ,UA,21
TM,CA,44
TN,BA,48
UG,MO,87
US,AO,5925
ZA,FI,1603
AW,NZ,3
AZ,KZ,1105
BE,AZ,1609
BW,SI,3
CD,GI,95
CH,CI,1186
CI,BI,147
CZ,TW,9384
ES,AF,14
GG,VC,5
HT,MQ,1
KH,CN,7777
MA,SK,461
MD,PK,18
ML,HK,1612
NL,LY,6
OM,PH,1683
PT,MV,18
RE,BE,2
RU,US,310637
RW,SS,44
SI,BS,1
TD,LB,108
TN,BB,8
ZA,FJ,6
CG,DJ,1
CI,BJ,661
EG,MG,6
ES,AG,6
GT,ID,91
HM,TR,75
HT,MR,3
HU,LR,40
IL,ZA,1366
IQ,UA,75
IS,SA,60
JE,BA,363
KG,DO,4
MA,SL,42
MD,PL,2726
MG,ML,1
MK,IL,159
PG,ZW,2
PT,MW,87
QA,AW,9
RW,ST,5
SI,BT,4
TC,MC,2
US,AQ,1
BW,SK,5
CG,DK,46
CH,CK,53
CY,UY,659
DM,BY,1
ER,BH,3
GR,KE,218
GT,IE,323
GY,DE,11
JE,BB,347
ME,OM,6
MK,IM,4
MQ,CM,1
MR,BM,1
PT,MX,648
SC,HU,17
TG,ID,74
TN,BD,269
UG,MR,24
US,AR,318434
ZW,SZ,1
BW,SL,3
BZ,PL,1
CH,CL,6247
CY,UZ,248
CZ,TZ,551
DK,NULL,111
DK,DZ,165
HU,LT,446
IS,SC,19
MA,SN,83
MK,IN,499
MQ,CN,41
OM,PK,1906
PL,UY,40
PT,MY,409
RW,SV,2
TG,IE,52
TL,DE,19
TN,BE,1698
TO,AE,3
US,AS,50
WS,JP,52
CA,JM,5903
CD,GM,11
CH,CM,1556
CI,BM,2
GG,VG,181
GH,UG,457
GR,KG,2
HK,VU,72
HT,MU,7
HU,LU,6786
JE,BD,58
KE,FR,3668
KH,CR,4
KZ,UA,7303
LB,NA,9
LC,MA,4
LI,GA,1
MA,SO,2
MG,MO,5
MQ,CO,4
OM,PL,934
PL,UZ,93
PS,NZ,130
PT,MZ,667
QA,AZ,477
SI,BW,1
TN,BF,35
UG,MT,16
US,AT,85592
BT,VN,939
BW,SN,6
CD,GN,406
CH,CN,57539
EG,MK,10
GI,TH,57
GM,PH,10
GR,KH,53
HN,SV,8558
HU,LV,523
IM,YE,1
IS,SE,18719
IT,RE,2
JE,BE,1987
LI,GB,19731
RE,BJ,22
SZ,UG,119
TN,BG,85
UG,MU,2229
US,AU,576904
ZA,FO,4
AL,ZA,24
AU,QA,825
BD,CA,1589
BE,BA,1109
CA,JO,2808
CH,CO,9381
EG,ML,54
ES,AL,203
FJ,NZ,1189
JE,BF,83
KY,VC,107
LB,NC,1
LC,MC,3
LK,EC,15
MK,IQ,7
RU,UY,1250
SI,BY,76
TM,CH,175
TN,BH,223
UG,MV,5
VN,KE,48
VU,DE,19
AZ,LB,28
BE,BB,260
CA,JP,15737
CD,GP,1
EE,OM,16
ES,AM,172
HN,SX,2
HT,MX,174
IQ,UG,9
IS,SG,728
JE,BG,205
MN,FR,109
MQ,CR,4
MR,BR,55
NI,PA,5814
NL,MA,1354
RU,UZ,10923
RW,SZ,34
SG,NULL,4395
SG,DZ,134
TJ,FI,12
TN,BI,47
UG,MW,300
US,AW,7453
BB,EC,136
CD,GQ,23
EG,MN,1
GE,XK,156
GM,PK,74
GU,HK,43
GY,DK,2
HT,MY,31
IR,TH,3
JE,BH,2059
KY,VE,19
LB,NE,39
LC,ME,12
LI,GE,124
LK,EE,5
MA,SS,1
MK,IS,34
MO,ES,67
TN,BJ,73
UG,MX,32
VC,VG,1
VN,KG,17
ZA,FR,10056
BD,CD,55
BE,BD,6757
BZ,PR,38
CD,GR,468
CH,CR,5572
CI,BR,98
CU,ZA,12
CZ,UA,3368
DM,CA,28
EG,MO,10
ES,AO,16
GM,PL,21
GT,IL,708
IS,SI,1117
JE,BI,16
JP,ZW,134
MA,ST,2
MD,PT,40
MG,MT,1
MK,IT,207
ML,HT,6
MO,ET,52
NL,MC,228
TD,LK,6
TH,HK,48840
UG,MY,1416
VE,TH,3
VN,KH,966
BB,EE,1
BE,BE,3570695
BF,AE,610
CF,ES,10
CI,BS,28
EG,MP,7
GN,OM,16
GR,KM,1
GT,IM,6
GY,DM,4
JE,BJ,19
KY,VG,230
KZ,UG,38
LB,NG,1302
LI,GG,10
LK,EG,78
MG,MU,4685
ML,HU,10
MS,AU,1
NE,TD,21
NL,MD,71
NP,ID,57
OM,PR,6
PH,ZA,646
PL,VA,3
PR,PA,9176
PT,NA,84
QA,BA,334
TG,IL,83
UG,MZ,147
US,AZ,17527
BD,CF,31
BE,BF,320
CD,GT,15
CF,ET,25
CI,BT,1
CY,VC,73
DK,EC,684
GG,VN,21
GI,TN,2
GR,KN,2
GT,IN,2258
IS,SK,4555
KH,CY,129
LI,GH,85
MA,SV,13
MG,MV,1
NG,RE,2
NI,PE,727
NL,ME,1752
NO,JE,1470
NP,IE,12
OM,PS,395
QA,BB,63
TG,IM,6
TN,BM,26
AR,TG,4
BB,EG,14
BE,BG,2837
CH,CU,1
DO,AD,3
EG,MR,15
ES,AR,3183
FI,PA,214
FR,GA,1330
GY,DO,23
IS,SL,1
KG,NULL,2
KH,CZ,26
KY,VI,1
LB,NI,12
LI,GI,17
MG,MW,1
MR,BW,1
MS,AW,2
OM,PT,44
PL,VC,23
TG,IN,3356
TH,HN,67
TM,CN,1212
AR,TH,1249
BD,CH,705
BE,BH,1031
CH,CV,898
CY,VE,27
DE,KE,13064
DK,EE,4442
DO,AE,234
EG,MS,10
ES,AS,2
FR,GB,2656696
IL,ZM,245
IS,SM,219
JE,BM,343
NE,TG,2
NL,MG,74
PY,ID,61
QA,BD,3522
RE,BR,4
SE,GA,39
SI,CA,1075
TN,BO,40
AZ,LI,56
BA,FI,27
BD,CI,28
BE,BI,364
CD,GW,9
CH,CW,3198
CI,BW,33
EG,MT,14
ES,AT,103824
IS,SN,13
JE,BN,10
KW,XK,2
MA,SY,65
MG,MY,281
NE,TH,32
NI,PH,10
PL,VE,33
PR,PE,1102
PY,IE,343
QA,BE,987
SE,GB,284302
VE,TM,1
ZW,TG,3
BE,BJ,441
CY,VG,2500
CZ,UG,124
DE,KG,274
DK,EG,1080
DO,AG,65
EG,MU,266
ES,AU,3820
FR,GD,9
GI,TR,11
GQ,LR,20
GR,KR,7230
GW,FR,119
HR,PA,217
HU,MA,129
IS,SO,6
IT,RO,11307
JE,BO,11
LB,NL,1138
MG,MZ,6
MQ,CZ,36
QA,BF,23
RU,VC,1
SG,EC,2253
VN,KN,1
ZW,TH,17
AZ,LK,125
BZ,PY,15
CH,CY,20848
CI,BY,5
DE,KH,1109
DM,CH,11
EG,MV,13
FI,PE,632
FR,GE,800
GH,US,75127
GT,IS,13
PL,VG,12
PT,NG,476
QA,BG,352
RW,TD,18
SC,ID,272
SE,GD,61
SI,CD,5
TD,LR,8
TH,HR,74
TJ,FR,7
TN,BR,125
TO,AR,1
TZ,ZA,13715
UG,NA,85
US,BA,16038
VG,RO,11
BD,CL,12
BW,SZ,13
CG,NULL,7
CG,DZ,1
CH,CZ,11094
CI,BZ,50
DE,KI,6
DM,CI,2
EG,MW,34
ES,AW,107
FI,PF,2
FR,GF,173
GM,PT,9
GT,IT,2886
HN,TC,2
HU,MC,19
JE,BQ,4
KY,VN,18
LI,GN,1
NI,PK,62
NL,MK,155
OM,PY,6
PR,PH,106
QA,BH,2686
RU,VE,50
SA,KE,3346
SC,IE,19
SE,GE,1518
SG,EE,1112
SK,AE,530
SZ,US,751
TN,BS,15
US,BB,17027
AL,ZM,4
AR,TM,1
BD,CM,21
BE,BM,1029
EG,MX,69
FI,PG,11
FR,GG,69
GG,VU,2
GP,MU,1
GQ,LU,1
HU,MD,27
JE,BR,649
KE,GA,134
KI,CA,4
LB,NO,141
NI,PL,14
NL,ML,315
NP,IL,5
PT,NI,240
QA,BI,15
SK,AF,1
TD,LT,6
TG,IT,189
TO,AT,1
AR,TN,36
BD,CN,16241
EG,MY,1078
FI,PH,1187
FR,GH,2138
HR,PE,89
HT,NE,32
HU,ME,222
IQ,US,13115
IT,RS,993
JE,BS,204
KE,GB,78483
LB,NP,43
NL,MM,366
NO,JM,145
NP,IM,15
QA,BJ,62
RU,VG,62
RW,TG,37
SA,KG,169
SE,GG,71
SG,EG,2218
SI,CG,1
TC,MU,8
TD,LU,35
TH,HU,522
TO,AU,21
US,BD,78535
